Date,Instrument,Open,High,Low,Close
2021-01-01,AAPL,67.3580865333137,68.23291783319453,67.24839226184027,67.57709303084448
2021-01-04,AAPL,68.3844725576439,68.81926002928903,67.63381851183252,68.61987859563122
2021-01-05,AAPL,68.15394516443594,69.83484933921348,67.830085984433,68.62968149463586
2021-01-06,AAPL,67.06809572184702,68.47658587195617,67.22352637854772,67.41425391622126
2021-01-07,AAPL,67.44468282367522,67.98974728960826,67.44571674526841,67.71451632348233
2021-01-08,AAPL,66.42756237124105,67.55250480739875,65.33641096635935,66.50981449418539
2021-01-11,AAPL,67.5803637257273,67.8321523609642,67.63151196483432,67.81303895336062
2021-01-12,AAPL,66.3483376962947,67.48975482560047,65.97627807259956,66.80173912472146
2021-01-13,AAPL,67.01163581266786,66.4549109410584,65.78748579985401,66.43574579483845
2021-01-14,AAPL,66.15007612501834,67.46457672641871,65.39565900889127,66.60417848088834
2021-01-15,AAPL,65.58981132601419,66.12712564480715,64.8633056362204,65.9620553262911
2021-01-18,AAPL,64.90086568642096,65.96359052650418,64.2586175571218,65.15601466334888
2021-01-19,AAPL,65.82032687938658,66.38659347512737,65.33049757993209,65.37160663437092
2021-01-20,AAPL,63.77320505705531,65.12702426755985,62.842598288596825,64.10605459385829
2021-01-21,AAPL,64.66611779177815,65.69628755909828,64.90230403833063,64.95948871737582
2021-01-22,AAPL,63.325431452449145,64.96538750871181,62.663839661604094,63.91779942455831
2021-01-25,AAPL,63.033737132401086,63.23535694745452,62.87456367705202,62.92229702949395
2021-01-26,AAPL,63.33201768222559,63.208401133485594,62.72706904584953,62.815079930495116
2021-01-27,AAPL,61.56174298098758,61.297259789383936,60.789361088148134,61.0962082298265
2021-01-28,AAPL,61.452820414626416,62.16339677313503,60.65127706703076,61.0897122454709
2021-01-29,AAPL,60.77040657209069,61.399059665356965,59.92969453041033,60.5379229525653
2021-02-01,AAPL,60.33678096833897,61.12503926194691,59.590487696812154,60.79983265605045
2021-02-02,AAPL,60.47509383830605,60.7425749157464,60.06172434936802,60.72403524828026
2021-02-03,AAPL,61.41127390994978,61.996075885525144,60.938297564576786,61.423157685113935
2021-02-04,AAPL,60.56739248913379,61.08499703824765,59.58475169066298,60.73785683566079
2021-02-05,AAPL,61.420547480707796,62.5132478356252,60.27472223731609,61.35728500376885
2021-02-08,AAPL,61.591411503254115,61.55977013510072,60.889408306669424,61.36278085838354
2021-02-09,AAPL,61.54523839471745,61.12172958067691,60.81674391163941,60.970743166789475
2021-02-10,AAPL,60.84311707228504,61.19695011311344,60.82736508685943,61.14251550134098
2021-02-11,AAPL,60.77696062227954,60.82749250506184,60.097271245611786,60.554692957330474
2021-02-12,AAPL,60.27044257274263,60.802066685195925,58.976788852531136,60.111689203092055
2021-02-15,AAPL,60.22717417554371,60.27826541232127,59.040447114549515,59.711624043002544
2021-02-16,AAPL,59.83479583575925,60.786426250644126,59.244271346779506,59.85265519519551
2021-02-17,AAPL,59.46886929447829,60.87788405172249,59.32913728733879,59.771399104829726
2021-02-18,AAPL,58.52453595593943,59.16258893961218,58.054659780646894,58.194248320416044
2021-02-19,AAPL,59.437896858684645,59.281302646626976,58.18478948053475,59.26330911560282
